	chao1
797.27.HA.RightPalm	518.52173913
797.50.HA.RightPalm	1330.12903226
797.46.HA.LeftPalm	1754.03468208
797.29.HA.LeftPalm	1157.61538462
797.64.HB.LeftPalm	948.142857143
797.55.HB.LeftPalm	707.679012346
797.50.HB.Forehead	958.887755102
797.35.HA.Forehead	417.595744681
797.66.HC.RightPalm	501.0
797.66.CB.FrontLeftPaw	803.563218391
797.53.CA.FrontLeftPaw	1174.01863354
797.45.CA.Forehead	1387.35294118
797.45.CA.BackRightPaw	1841.68108108
797.26.CA.BackRightPaw	866.538461538
797.53.CA.Forehead	1625.39737991
797.50.CA.BackLeftPaw	1334.04651163
797.52.CB.Forehead	1030.14893617
797.50.CB.Forehead	765.107526882
797.53.CB.BackLeftPaw	1390.31468531
797.50.CA.BackRightPaw	1345.25
797.48.HC.RightPalm	493.234042553
797.52.HB.RightPalm	1099.77931034
797.64.CB.FrontLeftPaw	1453.0729927
797.64.CA.FrontLeftPaw	1703.0931677
797.57.CA.BackRightPaw	1933.85882353
797.52.CA.BackLeftPaw	1030.44715447
797.64.CB.Forehead	1239.18181818
797.66.CB.BackLeftPaw	1114.73913043
797.52.CB.BackRightPaw	1764.87939698
797.64.CA.BackLeftPaw	1439.41666667
797.46.CA.BackRightPaw	1900.22727273
797.53.CB.BackRightPaw	1332.7398374
797.27.HA.LeftPalm	453.016666667
797.46.CB.Tongue	195.25
797.63.HA.LeftPalm	722.727272727
797.50.HA.Forehead	1623.23566879
797.07.HA.Forehead	265.0
797.68.HC.Forehead	254.384615385
797.64.CB.Tongue	150.769230769
797.07.CA.Tongue	234.46875
797.49.HC.LeftPalm	338.333333333
797.19.HB.LeftPalm	682.779661017
797.61.HB.Stool	554.365384615
797.31.HA.Stool	358.028571429
797.49.HC.Stool	447.654545455
797.43.HA.Stool	334.12
797.40.HA.Stool	379.7
797.55.HB.Stool	321.0
797.54.HA.Stool	448.886792453
797.55.HC.Stool	185.142857143
797.14.HB.Stool	347.0
797.05.HB.Stool	322.0
797.35.HA.Stool	346.857142857
797.03.HB.Stool	382.333333333
797.36.HB.Stool	318.256410256
797.37.HA.Stool	383.857142857
797.20.HA.Stool	348.576923077
797.62.HA.Stool	221.058823529
797.07.HA.Stool	362.185185185
797.41.HC.Stool	459.885714286
797.27.HA.Stool	406.5
797.64.HA.Stool	599.019607843
797.14.HA.Stool	339.5
797.02.HB.Stool	238.538461538
797.45.HB.Stool	355.135135135
797.62.HD.Stool	405.96875
797.03.HA.Stool	473.0
797.24.HA.Stool	409.078431373
797.19.HB.Stool	279.129032258
797.19.HA.Stool	350.701754386
797.39.HB.Stool	299.04
797.36.HA.Stool	402.2
797.13.HA.Stool	260.933333333
797.24.HB.Stool	312.65
797.63.HB.Stool	542.322580645
797.04.HA.Stool	184.285714286
797.64.HB.Stool	622.818181818
797.764.LeftPalm	502.0
797.1148.LeftPalm	466.25
797.68.HA.Stool	525.263157895
797.1106.Stool	623.8
797.57.HA.RightPalm	792.505263158
797.07.CA.FrontLeftPaw	1168.22627737
797.06.CB.Forehead	797.00952381
797.66.HB.Forehead	499.222222222
797.45.CA.FrontLeftPaw	1764.93367347
797.46.CA.FrontLeftPaw	1760.96244131
797.46.CA.BackLeftPaw	1783.89393939
797.1020.RightPalm	605.564516129
797.1106.RightPalm	731.447761194
797.07.CB.BackLeftPaw	1166.24137931
797.57.HB.Stool	371.692307692
797.54.HC.Forehead	630.255319149
797.27.HB.LeftPalm	455.279069767
797.42.HB.Tongue	205.5
797.20.HB.Tongue	250.125
797.57.HA.Tongue	140.375
797.64.HA.Tongue	197.6875
797.30.HA.LeftPalm	1385.76335878
797.41.HE.RightPalm	1343.96644295
797.57.HB.LeftPalm	1489.42307692
797.21.HC.LeftPalm	626.378787879
797.17.HA.RightPalm	762.448275862
797.61.HD.RightPalm	458.942307692
797.69.HB.LeftPalm	476.625
797.41.HC.RightPalm	604.918032787
797.66.HB.RightPalm	790.023255814
797.64.HB.RightPalm	979.219298246
797.30.HB.RightPalm	844.337349398
797.29.HD.LeftPalm	935.392857143
797.41.HC.LeftPalm	526.887096774
797.57.HB.RightPalm	998.619402985
797.69.HA.LeftPalm	622.886792453
797.46.HA.RightPalm	1702.0610687
797.31.HA.LeftPalm	515.631578947
797.37.HB.RightPalm	542.353846154
797.43.HB.RightPalm	447.6
797.22.HB.RightPalm	497.685185185
797.66.HB.LeftPalm	627.78313253
797.55.HC.RightPalm	630.146341463
797.41.HC.Forehead	352.217391304
797.43.HC.Forehead	770.849056604
797.62.HA.Forehead	370.731707317
797.54.HB.Forehead	503.464285714
797.56.HA.Forehead	374.243243243
797.52.HB.Forehead	406.947368421
797.29.HA.Forehead	830.918604651
797.50.CB.FrontLeftPaw	1052.19444444
797.46.CB.BackLeftPaw	2034.94594595
797.30.CA.BackLeftPaw	1221.44525547
797.57.CA.FrontLeftPaw	1871.94610778
797.52.CB.FrontLeftPaw	1428.38216561
797.45.CA.BackLeftPaw	1798.55319149
797.52.CA.FrontLeftPaw	1301.0
797.66.CA.FrontLeftPaw	812.221052632
797.06.CB.FrontLeftPaw	1307.21428571
797.49.CB.FrontLeftPaw	528.4
797.64.CA.BackRightPaw	1687.49704142
797.64.CB.BackLeftPaw	1599.5
797.52.CA.BackRightPaw	1328.01960784
797.57.CA.BackLeftPaw	2197.16574586
797.30.CA.Forehead	1330.77419355
797.50.CA.Forehead	824.304347826
797.19.CA.BackRightPaw	870.727272727
797.46.CB.Forehead	1542.57926829
797.46.CA.Forehead	1143.2866242
797.53.CA.BackRightPaw	1222.02112676
797.64.CA.Forehead	1085.53043478
797.64.CB.BackRightPaw	1400.0
797.46.CB.BackRightPaw	1834.12711864
797.66.CB.BackRightPaw	931.366071429
